common_name,scientific_name,recordist_name,recording_length,Date,TYPE,xc_id,Time,Country,Download_link
Greater Rhea,Rhea americana,Juan Pablo Culasso,0:02,2003-09-14,song,XC54184,?:?,Uruguay,https://xeno-canto.org/54184/download
Greater Rhea,Rhea americana,Bernabe Lopez-Lanus,0:19,2004-09-19,song,XC51832,?:?,Uruguay,https://xeno-canto.org/51832/download
Greater Rhea,Rhea americana,Nunes D´Acosta,0:03,2009-08-15,song,XC37806,16:10,Brazil,https://xeno-canto.org/37806/download
Greater Rhea,Rhea americana intermedia,JAYRSON ARAUJO DE OLIVEIRA,0:09,2021-11-03,song,XC686584,16:47,Brazil,https://xeno-canto.org/686584/download
Greater Rhea,Rhea americana americana,JAYRSON ARAUJO DE OLIVEIRA,0:15,2019-06-14,song,XC482438,6:59,Brazil,https://xeno-canto.org/482438/download
Greater Rhea,Rhea americana,Rafael Martos Martins,0:02,2016-04-23,song,XC314181,07:14,Brazil,https://xeno-canto.org/314181/download
Greater Rhea,Rhea americana,Peter Boesman,0:03,2005-07-20,call,XC229055,07:00,Brazil,https://xeno-canto.org/229055/download
Greater Rhea,Rhea americana,Peter Boesman,0:16,2005-07-20,call,XC229053,07:15,Brazil,https://xeno-canto.org/229053/download
Greater Rhea,Rhea americana,Joao Menezes,0:17,2012-07-09,song,XC108649,14:38,Brazil,https://xeno-canto.org/108649/download
Greater Rhea,Rhea americana,Juan Pablo Culasso,0:08,2003-09-14,song,XC54183,?:?,Uruguay,https://xeno-canto.org/54183/download
Greater Rhea,Rhea americana,Bernabe Lopez-Lanus,0:05,2001-03-11,song,XC51834,?:?,Argentina,https://xeno-canto.org/51834/download
Greater Rhea,Rhea americana,Nunes D´Acosta,0:01,2009-08-15,?,XC37805,17:20,Brazil,https://xeno-canto.org/37805/download
Greater Rhea,Rhea americana,Nunes D´Acosta,0:01,2009-08-15,song,XC37804,16:30,Brazil,https://xeno-canto.org/37804/download
Greater Rhea,Rhea americana,GABRIEL LEITE,0:04,2019-11-25,call,XC510934,07:00,Brazil,https://xeno-canto.org/510934/download
Greater Rhea,Rhea americana,Lars Lachmann,0:02,2013-02-16,song,XC127143,14:26,Germany,https://xeno-canto.org/127143/download
Lesser Rhea,Rhea pennata,Elisa M. Huanca Plata - Universidad Técnica de Oruro,0:22,2014-09-23,"song, llamada reproductiva",XC304506,11:30,Bolivia,https://xeno-canto.org/304506/download
Lesser Rhea,Rhea pennata pennata,Andrew Spencer,0:24,2011-11-17,call,XC90569,08:40,Chile,https://xeno-canto.org/90569/download
Lesser Rhea,Rhea pennata pennata,Andrew Spencer,0:05,2011-10-26,call,XC89244,17:00,Chile,https://xeno-canto.org/89244/download
Lesser Rhea,Rhea pennata,Fabrice Schmitt,0:12,2018-11-01,call,XC543987,14:00,Chile,https://xeno-canto.org/543987/download
Southern Brown Kiwi,Apteryx australis,James Lidster,0:25,2020-02-02,,XC525925,01:45,New Zealand,https://xeno-canto.org/525925/download
Southern Brown Kiwi,Apteryx australis lawryi,ZHANG Shen,0:12,2017-09-26,song,XC389022,20:36,New Zealand,https://xeno-canto.org/389022/download
Southern Brown Kiwi,Apteryx australis,Dan Lane,0:06,2014-11-22,call,XC207312,20:00,New Zealand,https://xeno-canto.org/207312/download
North Island Brown Kiwi,Apteryx mantelli,David Boyle,0:35,2021-08-14,call,XC668545,01:30,New Zealand,https://xeno-canto.org/668545/download
North Island Brown Kiwi,Apteryx mantelli,James Lidster,0:20,2020-01-17,call,XC526191,22:30,New Zealand,https://xeno-canto.org/526191/download
North Island Brown Kiwi,Apteryx mantelli,James Lidster,0:14,2020-01-17,call,XC526190,22:30,New Zealand,https://xeno-canto.org/526190/download
North Island Brown Kiwi,Apteryx mantelli,James Lidster,0:30,2020-01-17,call,XC526189,22:30,New Zealand,https://xeno-canto.org/526189/download
North Island Brown Kiwi,Apteryx mantelli,Lindsay Alexander,0:35,2019-09-03,"call, morepork (or ruru or southern boobook) calls briefly near end female call., adul",XC521536,20:30,New Zealand,https://xeno-canto.org/521536/download
North Island Brown Kiwi,Apteryx mantelli,Andrew McCafferty,0:16,2019-11-11,uncertain,XC638202,20:50,New Zealand,https://xeno-canto.org/638202/download
North Island Brown Kiwi,Apteryx mantelli,Andrew McCafferty,0:22,2019-11-11,song,XC638200,21:38,New Zealand,https://xeno-canto.org/638200/download
North Island Brown Kiwi,Apteryx mantelli,James Lidster,0:10,2020-01-17,call,XC526192,22:30,New Zealand,https://xeno-canto.org/526192/download
North Island Brown Kiwi,Apteryx mantelli,James Lidster,0:20,2020-01-17,call,XC526188,22:30,New Zealand,https://xeno-canto.org/526188/download
North Island Brown Kiwi,Apteryx mantelli,James Lidster,0:09,2020-01-17,call,XC526186,22:30,New Zealand,https://xeno-canto.org/526186/download
North Island Brown Kiwi,Apteryx mantelli,James Lidster,0:18,2020-01-17,call,XC526185,22:30,New Zealand,https://xeno-canto.org/526185/download
North Island Brown Kiwi,Apteryx mantelli,James Lidster,0:37,2020-01-17,call,XC526184,22:30,New Zealand,https://xeno-canto.org/526184/download
North Island Brown Kiwi,Apteryx mantelli,Lindsay Alexander,1:02,2019-06-13,call,XC521538,20:30,New Zealand,https://xeno-canto.org/521538/download
North Island Brown Kiwi,Apteryx mantelli,Lindsay Alexander,0:52,2019-07-04,"call, morepork owl calls briefly",XC521537,18:00,New Zealand,https://xeno-canto.org/521537/download
North Island Brown Kiwi,Apteryx mantelli,Lindsay Alexander,0:32,2019-08-24,call,XC521535,23:30,New Zealand,https://xeno-canto.org/521535/download
North Island Brown Kiwi,Apteryx mantelli,Tony Fulford,0:20,2016-12-14,call,XC348749,23:00,New Zealand,https://xeno-canto.org/348749/download
North Island Brown Kiwi,Apteryx mantelli,James Lidster,0:09,2020-01-17,call,XC525927,21:30,New Zealand,https://xeno-canto.org/525927/download
North Island Brown Kiwi,Apteryx mantelli,James Lidster,0:04,2020-01-17,call,XC525926,21:30,New Zealand,https://xeno-canto.org/525926/download
North Island Brown Kiwi,Apteryx mantelli,Dan Lane,0:27,2018-11-30,song,XC444283,21:00,New Zealand,https://xeno-canto.org/444283/download
Okarito Kiwi,Apteryx rowi,Ralf Wendt,0:19,2016-12-26,call,XC356323,23:00,New Zealand,https://xeno-canto.org/356323/download
Okarito Kiwi,Apteryx rowi,Ralf Wendt,0:23,2016-12-26,call,XC356322,23:00,New Zealand,https://xeno-canto.org/356322/download
Okarito Kiwi,Apteryx rowi,Ralf Wendt,0:17,2016-12-26,call,XC356321,23:00,New Zealand,https://xeno-canto.org/356321/download
Okarito Kiwi,Apteryx rowi,Jonas Kotlarz,0:13,2016-02-13,call,XC311777,22:00,New Zealand,https://xeno-canto.org/311777/download
Okarito Kiwi,Apteryx rowi,Johannes Fischer,0:05,2015-04-07,"call, song",XC236298,20:00,New Zealand,https://xeno-canto.org/236298/download
Little Spotted Kiwi,Apteryx owenii,Fernand DEROUSSEN,0:25,2013-10-02,song,XC152944,22:00,New Zealand,https://xeno-canto.org/152944/download
Little Spotted Kiwi,Apteryx owenii,Patrik Åberg,0:26,2005-01-06,song,XC33754,?,New Zealand,https://xeno-canto.org/33754/download
Little Spotted Kiwi,Apteryx owenii,nick talbot,0:16,2012-11-19,call,XC182608,20:30,New Zealand,https://xeno-canto.org/182608/download
Little Spotted Kiwi,Apteryx owenii owenii,David Bradley,0:51,2011-04-12,"duet, song",XC88143,04:00,New Zealand,https://xeno-canto.org/88143/download
Little Spotted Kiwi,Apteryx owenii,Stefan Greif,0:27,2018-12-28,call,XC498079,22:00,New Zealand,https://xeno-canto.org/498079/download
Little Spotted Kiwi,Apteryx owenii,Johannes Fischer,0:20,2015-03-01,call,XC215249,21:00,New Zealand,https://xeno-canto.org/215249/download
Great Spotted Kiwi,Apteryx haastii,David Boyle,0:44,2021-07-31,duet,XC666024,21:00,New Zealand,https://xeno-canto.org/666024/download
Great Spotted Kiwi,Apteryx haastii,David Boyle,1:08,2020-07-25,duet,XC579690,18:45,New Zealand,https://xeno-canto.org/579690/download
Great Spotted Kiwi,Apteryx haastii,Dan Lane,0:31,2018-11-21,song,XC444298,09:00,New Zealand,https://xeno-canto.org/444298/download
Great Spotted Kiwi,Apteryx haastii,Dan Lane,0:21,2016-11-18,song,XC345367,00:00,New Zealand,https://xeno-canto.org/345367/download
Great Spotted Kiwi,Apteryx haastii,George Wagner,0:25,2012-11-26,call,XC114351,22:25,New Zealand,https://xeno-canto.org/114351/download
Great Spotted Kiwi,Apteryx haastii,George Wagner,0:14,2012-11-25,call,XC114337,22:43,New Zealand,https://xeno-canto.org/114337/download
Great Spotted Kiwi,Apteryx haastii,Dan Lane,0:19,2016-11-18,song,XC345368,00:00,New Zealand,https://xeno-canto.org/345368/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,0:54,2013-03-19,alarm call,XC126083,16:00,Australia,https://xeno-canto.org/126083/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,0:12,2018-04-02,alarm call,XC404787,09:00,Australia,https://xeno-canto.org/404787/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,2:04,2016-05-13,"alarm call, aircraft noise just at the loudest part of the interaction",XC316215,08:30,Australia,https://xeno-canto.org/316215/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,1:52,2016-05-13,"alarm call, and the sound of the female walking through the vegetation, frog cal",XC316214,08:30,Australia,https://xeno-canto.org/316214/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,0:21,2015-08-30,call,XC276905,11:00,Australia,https://xeno-canto.org/276905/download
Southern Cassowary,Casuarius casuarius,Fernand Deroussen,0:20,2011-11-02,song,XC158488,18:30,Australia,https://xeno-canto.org/158488/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,0:23,2010-07-24,alarm call,XC143429,08:30,Australia,https://xeno-canto.org/143429/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,0:15,2013-06-27,call,XC140150,08:00,Australia,https://xeno-canto.org/140150/download
Southern Cassowary,Casuarius casuarius,Marc Anderson,0:17,2013-05-08,song,XC132934,11:00,Australia,https://xeno-canto.org/132934/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,0:31,2013-03-17,call,XC125292,11:00,Australia,https://xeno-canto.org/125292/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,1:54,2013-03-14,,XC125291,11:00,Australia,https://xeno-canto.org/125291/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,1:08,2013-01-20,call,XC120893,07:00,Australia,https://xeno-canto.org/120893/download
Southern Cassowary,Casuarius casuarius,Marc Anderson,0:19,2018-09-08,song,XC482590,07:00,Australia,https://xeno-canto.org/482590/download
Southern Cassowary,Casuarius casuarius,Marc Anderson,0:17,2015-11-21,song,XC337534,07:00,Australia,https://xeno-canto.org/337534/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,0:05,2016-09-19,alarm call,XC335574,08:00,Australia,https://xeno-canto.org/335574/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,0:39,2015-08-30,call,XC276900,11:00,Australia,https://xeno-canto.org/276900/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,1:19,2014-08-31,brush-turkeys scraping and scratching,XC194118,11:30,Australia,https://xeno-canto.org/194118/download
Southern Cassowary,Casuarius casuarius,Jeremy Hegge,1:34,2014-01-03,call,XC168205,22:30,Australia,https://xeno-canto.org/168205/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,2:28,2013-12-23,"alarm call, microhylid frogs, raindrops",XC158564,17:30,Australia,https://xeno-canto.org/158564/download
Southern Cassowary,Casuarius casuarius,Phil Gregory,0:02,2010-07-24,alarm call,XC143430,08:30,Australia,https://xeno-canto.org/143430/download
Dwarf Cassowary,Casuarius bennetti,Todd Mark,0:09,2019-09-19,"alarm call, threat display of pet cassowary in enclosed pen., juve",XC524398,08:00,Papua New Guinea,https://xeno-canto.org/524398/download
Dwarf Cassowary,Casuarius bennetti,Scott Connop,0:15,1993-09-29,alarm call,XC590323,09:20,Papua New Guinea,https://xeno-canto.org/590323/download
Northern Cassowary,Casuarius unappendiculatus,Marc Anderson,0:30,2019-08-18,call,XC498017,08:30,Indonesia,https://xeno-canto.org/498017/download
Northern Cassowary,Casuarius unappendiculatus,Iain Woxvold,0:10,2011-03-01,"call, calls",XC558583,12:15,Papua New Guinea,https://xeno-canto.org/558583/download
Northern Cassowary,Casuarius unappendiculatus,Marc Anderson,0:28,2019-08-19,call,XC498016,07:30,Indonesia,https://xeno-canto.org/498016/download
Northern Cassowary,Casuarius unappendiculatus,Marc Anderson,0:21,2019-08-19,call,XC498015,07:30,Indonesia,https://xeno-canto.org/498015/download
Northern Cassowary,Casuarius unappendiculatus,Iain Woxvold,0:10,2011-03-01,"call, calls",XC558582,07:05,Papua New Guinea,https://xeno-canto.org/558582/download
Northern Cassowary,Casuarius unappendiculatus,Frank Lambert,0:07,2013-07-28,call,XC209609,07:42,Indonesia,https://xeno-canto.org/209609/download
Emu,Dromaius novaehollandiae,Marc Anderson,0:37,2020-08-29,drumming,XC597154,23:30,Australia,https://xeno-canto.org/597154/download
Emu,Dromaius novaehollandiae,Marc Anderson,0:28,2015-10-15,call,XC287026,05:00,Australia,https://xeno-canto.org/287026/download
Emu,Dromaius novaehollandiae,Marc Anderson,0:27,2015-03-30,call,XC233818,07:00,Australia,https://xeno-canto.org/233818/download
Emu,Dromaius novaehollandiae,Tom Tarrant,0:29,2012-06-29,drumming,XC195089,06:30,Australia,https://xeno-canto.org/195089/download
Emu,Dromaius novaehollandiae,Marc Anderson,0:10,2013-05-08,"call, drumming",XC132935,11:00,Australia,https://xeno-canto.org/132935/download
Emu,Dromaius novaehollandiae,Marc Anderson,1:20,2021-10-06,call,XC681004,18:30,Australia,https://xeno-canto.org/681004/download
Emu,Dromaius novaehollandiae,Marc Anderson,0:47,2020-08-29,drumming,XC597155,23:30,Australia,https://xeno-canto.org/597155/download
Emu,Dromaius novaehollandiae,Martin Cake,0:12,2020-07-17,begging call,XC577709,14:00,Australia,https://xeno-canto.org/577709/download
Emu,Dromaius novaehollandiae,Marc Anderson,1:08,2020-06-27,song,XC575654,06:30,Australia,https://xeno-canto.org/575654/download
Emu,Dromaius novaehollandiae,Greg McLachlan,0:03,2016-09-04,call,XC343777,13:00,Australia,https://xeno-canto.org/343777/download
Emu,Dromaius novaehollandiae,Marc Anderson,0:09,2013-10-10,"call, drumming",XC171789,08:00,Australia,https://xeno-canto.org/171789/download
Emu,Dromaius novaehollandiae,Simon Elliott,0:18,2009-09-07,"begging call, call",XC113130,15:30,Australia,https://xeno-canto.org/113130/download
Emu,Dromaius novaehollandiae,Marc Anderson,0:47,2020-06-27,song,XC575653,06:30,Australia,https://xeno-canto.org/575653/download
Emu,Dromaius novaehollandiae,Pieter de Groot Boersma,0:08,2015-12-15,call,XC326393,16:00,Australia,https://xeno-canto.org/326393/download
Emu,Dromaius novaehollandiae,Marc Anderson,0:36,2015-10-15,call,XC287027,05:00,Australia,https://xeno-canto.org/287027/download
Emu,Dromaius novaehollandiae,Jeremy Hegge,0:13,2015-05-04,"call, drumming",XC243487,02:30,Australia,https://xeno-canto.org/243487/download
Emu,Dromaius novaehollandiae,Marc Anderson,0:09,2015-03-30,call,XC233817,07:00,Australia,https://xeno-canto.org/233817/download
Grey Tinamou,Tinamus tao,JAYRSON ARAUJO DE OLIVEIRA,0:04,2022-09-22,call,XC755231,11:09,Brazil,https://xeno-canto.org/755231/download
Grey Tinamou,Tinamus tao,JAYRSON ARAUJO DE OLIVEIRA,0:12,2022-09-22,call,XC755226,10:43,Brazil,https://xeno-canto.org/755226/download
Grey Tinamou,Tinamus tao tao,GABRIEL LEITE,0:50,2020-10-13,song,XC597722,06:30,Brazil,https://xeno-canto.org/597722/download
Grey Tinamou,Tinamus tao,Fabrice Schmitt,0:27,2016-02-19,song,XC318739,07:30,Colombia,https://xeno-canto.org/318739/download
Grey Tinamou,Tinamus tao,Niels Krabbe,3:43,2007-02-05,"song, tremolo song",XC236216,07:20,Colombia,https://xeno-canto.org/236216/download
Grey Tinamou,Tinamus tao,Jeremy Minns,0:47,2005-10-26,"song, tremolo song",XC217695,06:48,Brazil,https://xeno-canto.org/217695/download
Grey Tinamou,Tinamus tao,A. Bennett Hennessey,0:04,1998-10-22,"song, a single song",XC3145,6:12,Bolivia,https://xeno-canto.org/3145/download
Grey Tinamou,Tinamus tao kleei,Richard E. Webster,0:08,2021-11-24,song,XC708505,10:05,Bolivia,https://xeno-canto.org/708505/download
Grey Tinamou,Tinamus tao,Dante Buzzetti,0:06,2008-08-04,song,XC564679,19:53,Brazil,https://xeno-canto.org/564679/download
Grey Tinamou,Tinamus tao,Dante Buzzetti,0:48,2008-08-04,song,XC557622,18:53,Brazil,https://xeno-canto.org/557622/download
Grey Tinamou,Tinamus tao,Dante Buzzetti,0:20,2008-08-04,song,XC557618,18:45,Brazil,https://xeno-canto.org/557618/download
Grey Tinamou,Tinamus tao,Fernando Igor de Godoy,0:27,2017-07-26,song,XC537901,07:00,Brazil,https://xeno-canto.org/537901/download
Grey Tinamou,Tinamus tao,Fernando Igor de Godoy,0:21,2017-07-26,song,XC537897,07:00,Brazil,https://xeno-canto.org/537897/download
Grey Tinamou,Tinamus tao,Dante Buzzetti,0:05,2008-08-03,song,XC497975,6:23,Brazil,https://xeno-canto.org/497975/download
Grey Tinamou,Tinamus tao,Johana Zuluaga-Bonilla,0:26,2018-05-05,"song, insectos",XC428202,06:00,Colombia,https://xeno-canto.org/428202/download
Grey Tinamou,Tinamus tao,Yoann BLANCHON,0:05,2015-08-27,song,XC289850,18:00,Bolivia,https://xeno-canto.org/289850/download
Grey Tinamou,Tinamus tao,Peter Boesman,0:34,1996-06-22,"call, long call",XC231261,07:30,Venezuela,https://xeno-canto.org/231261/download
Grey Tinamou,Tinamus tao,Peter Boesman,0:09,2007-08-15,call,XC231253,18:30,Venezuela,https://xeno-canto.org/231253/download
Grey Tinamou,Tinamus tao,Jerome Fischer,0:49,2015-01-01,call,XC209067,17:00,Ecuador,https://xeno-canto.org/209067/download
Grey Tinamou,Tinamus tao,Jerome Fischer,0:56,2015-01-01,call,XC209066,17:00,Ecuador,https://xeno-canto.org/209066/download
Grey Tinamou,Tinamus tao kleei,Leonardo Ordóñez-Delgado,3:53,2014-04-26,song,XC176277,06:30,Ecuador,https://xeno-canto.org/176277/download
Grey Tinamou,Tinamus tao kleei,Leonardo Ordóñez-Delgado,4:07,2014-04-26,song,XC176263,06:00,Ecuador,https://xeno-canto.org/176263/download
Grey Tinamou,Tinamus tao,Cid Espínola,0:12,2013-12-10,song,XC157425,18:17,Brazil,https://xeno-canto.org/157425/download
Grey Tinamou,Tinamus tao,Bradley Davis,0:21,2011-01-26,"song, tremolo song",XC91214,06:50,Brazil,https://xeno-canto.org/91214/download
Grey Tinamou,Tinamus tao,Joseph Tobias and Nathalie Seddon,0:31,2002-11-16,song,XC64283,06:45,Bolivia,https://xeno-canto.org/64283/download
Grey Tinamou,Tinamus tao,Joseph Tobias and Nathalie Seddon,1:26,2002-11-12,call,XC64282,18:30,Bolivia,https://xeno-canto.org/64282/download
Grey Tinamou,Tinamus tao septentrionalis,Chris Parrish,0:08,1984-12-02,song,XC6189,1815,Venezuela,https://xeno-canto.org/6189/download
Grey Tinamou,Tinamus tao,A. Bennett Hennessey,0:12,1998-09-22,"song, a single song.",XC3119,9:55,Bolivia,https://xeno-canto.org/3119/download
Grey Tinamou,Tinamus tao,GABRIEL LEITE,0:03,2019-06-18,song,XC483178,07:30,Brazil,https://xeno-canto.org/483178/download
Grey Tinamou,Tinamus tao,PABLO ANDRADE,0:03,2004-02-17,song,XC460667,08:00,Ecuador,https://xeno-canto.org/460667/download
Solitary Tinamou,Tinamus solitarius,Bernabe Lopez-Lanus,0:52,2019-10-23,song,XC549356,19:00,Argentina,https://xeno-canto.org/549356/download
Solitary Tinamou,Tinamus solitarius,Bernabe Lopez-Lanus,0:05,2019-10-19,song,XC549355,19:00,Argentina,https://xeno-canto.org/549355/download
Solitary Tinamou,Tinamus solitarius,Odirlei Vieira da Fonseca,1:03,2021-07-28,song,XC666443,06:30,Brazil,https://xeno-canto.org/666443/download
Solitary Tinamou,Tinamus solitarius,Marcos Melo,1:15,2020-09-17,song,XC591392,07:57,Brazil,https://xeno-canto.org/591392/download
Solitary Tinamou,Tinamus solitarius,Rosendo Manuel Fraga,0:31,1998-08-09,song,XC462182,09:30,Argentina,https://xeno-canto.org/462182/download
Solitary Tinamou,Tinamus solitarius,Fernando Igor de Godoy,0:38,2017-08-13,song,XC422786,07:00,Brazil,https://xeno-canto.org/422786/download
Solitary Tinamou,Tinamus solitarius,Alexandre Bianco,1:36,2017-01-02,song,XC353537,06:00,Brazil,https://xeno-canto.org/353537/download
Solitary Tinamou,Tinamus solitarius,Alexandre Bianco,1:22,2017-01-01,song,XC353525,19:00,Brazil,https://xeno-canto.org/353525/download
Solitary Tinamou,Tinamus solitarius,Antonio Silveira,0:41,1999-10-16,call,XC144378,11:00,Brazil,https://xeno-canto.org/144378/download
Solitary Tinamou,Tinamus solitarius,Eduardo D. Schultz,2:04,2012-09-06,song,XC113213,07:30,Brazil,https://xeno-canto.org/113213/download
Solitary Tinamou,Tinamus solitarius solitarius,Jeremy Minns,0:41,2002-12-01,"song, , song b",XC85442,08:56,Brazil,https://xeno-canto.org/85442/download
Solitary Tinamou,Tinamus solitarius,Myriam Velazquez,0:07,2002-09-07,song,XC55899,?:?,Paraguay,https://xeno-canto.org/55899/download
Solitary Tinamou,Tinamus solitarius,Myriam Velazquez,0:29,2000-09-05,song,XC55898,?:?,Paraguay,https://xeno-canto.org/55898/download
Solitary Tinamou,Tinamus solitarius,Brian Cox,0:10,2004-09-10,song,XC727960,00:00,Brazil,https://xeno-canto.org/727960/download
Solitary Tinamou,Tinamus solitarius,Nunes D´Acosta,0:02,2008-03-16,song,XC715527,07:00,Brazil,https://xeno-canto.org/715527/download
Solitary Tinamou,Tinamus solitarius,JAYRSON ARAUJO DE OLIVEIRA,0:04,2021-07-02,call,XC660666,11:04,Brazil,https://xeno-canto.org/660666/download
Solitary Tinamou,Tinamus solitarius,Lia Nahomi Kajiki,0:10,2021-01-22,song,XC619043,06:30,Brazil,https://xeno-canto.org/619043/download
Solitary Tinamou,Tinamus solitarius,Dante Buzzetti,0:05,2018-03-29,song,XC613866,12:20,Brazil,https://xeno-canto.org/613866/download
Solitary Tinamou,Tinamus solitarius,Dante Buzzetti,0:19,2017-11-02,song,XC595109,17:40,Brazil,https://xeno-canto.org/595109/download
Solitary Tinamou,Tinamus solitarius,Caio Brito,0:04,2019-11-07,canto,XC556640,18:00,Brazil,https://xeno-canto.org/556640/download
Solitary Tinamou,Tinamus solitarius,Rodrigo Dela Rosa,0:13,2020-04-28,call,XC552958,08:30,Brazil,https://xeno-canto.org/552958/download
Solitary Tinamou,Tinamus solitarius,Dante Buzzetti,0:22,2004-02-09,song,XC521946,18:30,Brazil,https://xeno-canto.org/521946/download
Solitary Tinamou,Tinamus solitarius,Ricardo José Mitidieri,0:02,2019-10-29,song,XC505069,17:40,Brazil,https://xeno-canto.org/505069/download
Solitary Tinamou,Tinamus solitarius,Fernando Igor de Godoy,1:41,2017-08-13,song,XC422785,07:00,Brazil,https://xeno-canto.org/422785/download
Solitary Tinamou,Tinamus solitarius,Fernando Igor de Godoy,0:51,2012-10-18,song,XC326013,18:00,Brazil,https://xeno-canto.org/326013/download
Solitary Tinamou,Tinamus solitarius,Jerome Fischer,0:35,2015-10-26,call,XC287483,09:30,Brazil,https://xeno-canto.org/287483/download
Solitary Tinamou,Tinamus solitarius,Roney Souza,0:17,2015-09-07,song,XC278337,09:00,Brazil,https://xeno-canto.org/278337/download
Solitary Tinamou,Tinamus solitarius,Roney Souza,0:05,2015-09-07,song,XC278336,09:00,Brazil,https://xeno-canto.org/278336/download
Solitary Tinamou,Tinamus solitarius,João Gava Just,0:03,2015-08-30,call,XC277175,15:00,Brazil,https://xeno-canto.org/277175/download
Solitary Tinamou,Tinamus solitarius,Eric DeFonso,0:28,2014-09-14,song,XC246805,07:18,Brazil,https://xeno-canto.org/246805/download
Black Tinamou,Tinamus osgoodi hershkovitzi,Gerlando Delgado,1:15,2022-02-26,song,XC722601,17:36,Colombia,https://xeno-canto.org/722601/download
Black Tinamou,Tinamus osgoodi hershkovitzi,Gerónimo Tanguila,0:13,2022-03-03,song,XC706672,09:55,Ecuador,https://xeno-canto.org/706672/download
Black Tinamou,Tinamus osgoodi hershkovitzi,Juan Pablo López-O.,0:19,2021-01-29,song,XC701263,13:00,Colombia,https://xeno-canto.org/701263/download
Black Tinamou,Tinamus osgoodi hershkovitzi,Gerlando Delgado,1:33,2017-02-01,song,XC474901,14:00,Colombia,https://xeno-canto.org/474901/download
Black Tinamou,Tinamus osgoodi,Edilson Rosero,0:10,2016-12-02,song,XC350134,14:30,Colombia,https://xeno-canto.org/350134/download
Black Tinamou,Tinamus osgoodi hershkovitzi,Gerlando Delgado,1:02,2019-05-04,uncertain,XC726317,05:36,Colombia,https://xeno-canto.org/726317/download
Black Tinamou,Tinamus osgoodi hershkovitzi,Gerlando Delgado,0:05,2021-01-21,"call, song",XC723672,11:11,Colombia,https://xeno-canto.org/723672/download
Black Tinamou,Tinamus osgoodi hershkovitzi,Gerlando Delgado,0:06,2019-05-10,song,XC722609,07:00,Colombia,https://xeno-canto.org/722609/download
